predict,target
-0.0785,0.13
0.07312,0.44
0.03402,-0.03
-0.15582000000000001,0.32
0.09055999999999999,-0.5
0.01754,-0.4
-0.19585999999999998,0.1
0.16591999999999998,-0.37
-0.1524,0.23
-0.010660000000000001,0.14
0.16176,0.03
0.06098,0.45
-0.09451999999999999,0.49
0.15918,0.26
-0.09827999999999999,0.2
0.07524,-0.11
-0.09628,-0.31
0.0038,0.38
-0.17012,0.31
-0.31994,-0.49
-0.0144,0.17
-0.07388,0.28
-0.10071999999999999,0.09
0.09896,0.37
0.1522,0.48
-0.20392,-0.46
-0.09678,0.22
0.07464,-0.35
-0.1399,0.05
-0.00594,-0.04
0.019039999999999998,-0.39
0.25248000000000004,0.23
-0.10914,-0.1
-0.01722,0.41
0.0013800000000000002,-0.41
-0.022879999999999998,-0.38
-0.10647999999999999,-0.03
0.16142,0.09
0.21661999999999998,0.3
-0.06269999999999999,0.26
0.13008,0.35
0.04212,-0.48
-0.024220000000000002,-0.28
0.1362,-0.39
0.0467,-0.18
-0.0789,0.32
-0.15933999999999998,-0.12
0.15536,0.12
0.17495999999999998,-0.14
-0.01872,-0.26
0.02666,0.35
-0.04002,-0.08
0.11744,-0.05
-0.2212,-0.15
0.0875,-0.4
-0.21417999999999998,-0.35
-0.127,-0.4
0.083,0.13
0.042359999999999995,0.44
-0.1335,0.27
0.14673999999999998,-0.14
0.0096,0.35
-0.0501,-0.43
0.05252,-0.2
0.0045000000000000005,-0.4
0.027719999999999998,0.28
-0.12104,0.35
0.044379999999999996,0.39
0.08212,0.41
0.16047999999999998,0.37
0.12236000000000001,0.1
-0.28696,-0.34
0.06976,-0.22
0.06985999999999999,0.16
0.07056,-0.47
0.11694,0.38
0.0708,0.32
0.00024,-0.18
-0.18446,-0.34
0.07392,-0.37
0.11176,0.14
-0.03242,-0.27
-0.13494,0.36
0.17547999999999997,0.28
-0.016020000000000006,0.36
0.01768,-0.44
-0.0034999999999999996,-0.3
0.0275,-0.49
-0.0271,0.07
0.30438,0.08
0.10746,0.2
0.11814,0.19
0.03544,-0.16
-0.20980000000000001,-0.4
-0.13778,0.25
-0.02086,0.47
-0.12194,-0.36
-0.0207,-0.14
-0.01482,-0.26
0.16088000000000002,0.5
0.21237999999999999,0.07
0.1408,0.39
-0.297,-0.47
0.07078000000000001,0.23
0.03634,-0.14
0.09626,-0.49
-0.14837999999999998,-0.11
0.16356,0.45
-0.32716,-0.48
0.11554,-0.25
-0.14062,0.16
-0.26242,-0.43
0.07452,0.18
-0.03788,0.42
0.049859999999999995,0.35
-0.11026,-0.29
-0.07017999999999999,0.19
-0.06777999999999999,0.17
0.06174,-0.27
-0.00748,0.14
-0.00356,-0.47
0.09896,0.38
0.11144,-0.19
-0.07022,0.31
-0.13824,0.01
-0.020259999999999997,-0.05
-0.04812,0.35
-0.09757999999999999,0.34
0.06952,-0.36
-0.09476000000000001,0.02
0.08314,0.34
0.02472,-0.4
0.27714,0.17
0.08468,-0.01
-0.15526,-0.16
0.00124,-0.46
-0.23844,-0.45
-0.13022,-0.01
-0.0723,0.13
-0.0906,-0.11
0.14354,-0.07
0.14204,0.28
-0.08606,-0.24
-0.01352,-0.31
0.0913,-0.43
0.02176,-0.17
-0.04682,-0.5
-0.07268,-0.13
-0.08444000000000002,-0.3
0.10314,0.19
0.11381999999999999,0.49
-0.05122,0.19
0.02514,-0.11
0.01546,0.01
0.36097999999999997,0.29
0.043680000000000004,0.4
-0.07139999999999999,0.15
0.05218,0.36
0.1371,-0.1
-0.21754,-0.3
-0.050300000000000004,0.28
-0.2728,-0.37
-0.05118,0.18
0.18686,-0.11
-0.00612,0.49
-0.2229,-0.02
