predict,target
0.136,0.16
-0.26893999999999996,-0.26
-0.02986,-0.23
-0.22292,-0.24
0.12619999999999998,-0.16
-0.23356000000000002,0.45
-0.23021999999999998,0.12
-0.02932,-0.38
0.08034000000000001,-0.01
0.1991,0.41
0.006520000000000001,0.41
0.19374,0.27
-0.25984,0.39
0.1092,0.03
0.20643999999999998,0.08
-0.1388,-0.31
0.00148,0.34
-0.2655,0.08
-0.20224,-0.48
-0.26786,0.44
0.02368,0.46
-0.19149999999999998,-0.16
-0.038740000000000004,-0.06
0.10007999999999999,0.43
-0.07536,0.0
0.10122,0.12
0.18282,-0.24
-0.04838,0.2
0.053239999999999996,-0.02
-0.05956,0.25
-0.2586,0.37
-0.24538000000000001,-0.29
-0.026779999999999998,-0.44
-0.28124,0.01
-0.043899999999999995,0.17
0.1114,0.46
0.02062,-0.15
0.00446,-0.13
0.24462,-0.06
0.16963999999999999,0.0
-0.04124,-0.33
0.1265,0.12
0.16552,0.12
-0.0504,0.18
-0.12784,0.46
0.17782,-0.28
-0.17942,-0.33
0.10356,-0.48
0.11388,-0.49
0.0677,0.39
-0.11385999999999999,0.27
-0.02704,-0.13
-0.27265999999999996,-0.27
0.038919999999999996,0.16
0.03408,-0.41
-0.0302,0.13
-0.02878,-0.04
-0.00872,-0.49
-0.03136,-0.08
0.08103999999999999,0.23
-0.0023,0.48
0.18167999999999998,-0.47
-0.28386,-0.07
-0.2732,-0.38
-0.20702,0.49
-0.020139999999999998,0.34
0.10994,0.03
0.16690000000000002,0.35
0.09582,0.43
0.0441,0.16
-0.11194000000000001,-0.5
-0.21292000000000003,0.47
0.03132,0.35
0.20424,-0.36
0.1017,0.0
-0.025339999999999998,0.45
-0.20457999999999998,0.1
-0.20526,0.19
-0.22258,0.28
0.09548,0.44
0.18094000000000002,-0.02
0.15804,0.26
0.15312,0.27
0.12376,-0.49
-0.25788,0.01
-0.027080000000000003,-0.29
0.15348,0.39
-0.03196,0.45
0.006959999999999999,-0.24
0.10732,-0.1
-0.025539999999999997,0.25
-0.03,-0.47
0.006540000000000001,-0.12
-0.26111999999999996,-0.09
-0.23268,-0.5
0.134,-0.38
0.10882,0.31
0.0087,0.37
0.1632,-0.18
-0.04224,-0.49
-0.09066,0.03
-0.25745999999999997,-0.1
0.09188,-0.18
0.1604,0.08
-0.03442,-0.08
-0.25128,-0.29
-0.081,-0.01
-0.02552,-0.25
-0.04742,-0.3
0.13699999999999998,-0.13
0.04968,-0.18
0.03018,-0.42
0.08788,0.27
-0.26846,0.11
0.15502000000000002,0.06
0.15062,0.32
0.1745,0.43
0.14452,0.11
-0.043680000000000004,0.08
-0.06352000000000001,-0.43
-0.19002,-0.04
-0.0661,-0.42
0.0594,-0.46
0.15782,0.45
0.1353,-0.25
0.17143999999999998,-0.49
-0.26392,0.3
0.09078,-0.33
0.02572,0.12
0.0054800000000000005,0.12
0.041159999999999995,0.21
-0.27246,0.44
0.1548,0.28
-0.09362,0.07
0.13316,-0.26
-0.11972,-0.16
-0.14168,0.12
0.04536,0.08
-0.26188,0.22
0.16577999999999998,0.19
0.1432,0.13
0.016220000000000002,0.04
-0.02842,0.03
-0.24288,-0.02
-0.049859999999999995,0.14
