predict,target
0.029900000000000003,0.16
-0.01718,-0.45
-0.1483,0.04
0.188,0.5
-0.035019999999999996,0.01
0.32659999999999995,0.37
-0.10904,0.32
0.07322000000000001,0.4
0.01322,0.39
0.01654,0.03
-0.21975999999999998,-0.39
-0.01482,-0.47
0.064,-0.36
0.013300000000000001,-0.18
-0.05678,0.01
-0.05284,-0.04
-0.15378,-0.48
0.010860000000000002,-0.45
-0.15381999999999998,-0.1
-0.08554,-0.14
0.05698,-0.34
0.06266,0.01
-0.03928,0.26
-0.14016,0.17
-0.15892,0.43
-0.09756000000000001,0.34
0.01796,-0.18
-0.13302,-0.15
0.03734,0.47
-0.05672,-0.49
0.066,0.18
-0.05782,-0.22
-0.01236,0.36
0.10987999999999999,0.05
0.13186,0.41
-0.1602,0.09
-0.24262,0.35
-0.06582,-0.02
0.01242,-0.44
-0.08662,-0.24
-2e-05,0.5
0.02686,-0.04
0.096,0.12
-0.21030000000000001,0.27
-0.02276,-0.32
0.03116,0.37
0.28578,0.46
-0.13428,-0.04
-0.13898,0.16
0.09458,0.29
0.20632,0.45
0.10542,0.34
0.041740000000000006,-0.44
-0.10486000000000001,0.45
-0.11134000000000001,0.42
-0.02194,0.33
-0.23274,0.1
-0.10154,-0.11
-0.05346,0.04
-0.06482,-0.27
-0.11278,-0.43
-0.00526,0.49
-0.24974,0.39
0.0649,-0.4
0.11599999999999999,0.2
-0.00066,-0.1
-0.055279999999999996,0.36
-0.0378,0.36
0.05508,-0.07
-0.22468,-0.46
-0.19316,0.26
-0.0403,0.43
-0.05386,-0.5
-0.11602,0.2
-0.05684,-0.08
0.23376000000000002,0.22
0.01714,-0.44
0.06496,0.45
-0.15896000000000002,0.33
0.0572,0.15
-0.05878,-0.44
-0.03084,-0.37
0.02514,-0.18
0.17018,0.07
0.04341999999999999,-0.02
0.06274,0.06
-0.1035,-0.17
0.12050000000000001,0.23
0.00232,0.13
-0.15208,0.29
-0.00842,-0.21
-0.06792,-0.08
0.03302,0.15
-0.00226,0.01
-0.07583999999999999,0.11
-0.27574000000000004,-0.32
-0.00908,0.15
-0.0622,-0.4
-0.07440000000000001,0.42
-0.00202,0.01
0.0179,0.24
-0.00418,-0.35
-0.17754,0.29
0.00058,0.16
0.11109999999999999,0.4
-0.06414,-0.09
-0.11385999999999999,0.02
-0.035539999999999995,-0.16
0.03978,0.18
0.034620000000000005,0.46
-0.15592,0.14
-0.029380000000000003,-0.14
0.1282,0.17
0.016120000000000002,0.35
-0.16412,0.45
-0.23904,0.09
0.10798,-0.02
-0.07980000000000001,0.48
0.04584,0.45
-0.20879999999999999,0.25
-0.0824,0.0
-0.14518,-0.44
-0.0189,-0.19
-0.1162,-0.34
-0.08148,-0.37
-0.01806,-0.34
-0.03916,-0.31
0.005,-0.45
-0.00534,-0.3
0.1902,0.12
0.05244,0.35
-0.18644,0.11
0.05882,0.17
0.06048,-0.41
0.19122,0.17
0.07186,-0.3
-0.15632,0.23
-0.07704,0.5
0.17032,0.21
0.07884000000000001,-0.29
-0.22452000000000003,-0.28
-0.02942,0.29
-0.05848,0.18
-0.07676,-0.3
0.1365,0.44
-0.0824,-0.41
-0.14832,0.15
-0.06480000000000001,0.43
-0.00336,0.06
-0.16672,0.07
0.07872,0.37
-0.1984,-0.15
-0.18526,-0.24
0.09744,0.47
-0.03908,-0.25
-0.12282,-0.4
0.09164,-0.12
-0.13746,0.5
-0.21359999999999998,0.12
-0.13892,-0.26
-0.13288,0.06
0.015600000000000001,0.06
-0.044800000000000006,-0.29
0.050839999999999996,0.1
-0.0934,0.1
0.29672,0.18
0.09962,-0.04
0.09814,0.27
-0.09757999999999999,-0.32
-0.13532,-0.08
0.11312,-0.25
0.0917,-0.39
-0.13718,0.41
-0.05208,0.06
-0.17728000000000002,0.45
-0.15764,-0.35
0.27926,0.4
0.32073999999999997,0.43
-0.08084,0.01
-0.01654,-0.45
0.24931999999999999,0.32
-0.21258,0.2
-0.11746000000000001,0.35
0.2207,-0.13
0.03734,0.43
-0.0803,-0.5
0.01064,0.46
0.02512,0.26
