predict,target
0.14508,0.47
-0.06373999999999999,0.2
0.11996000000000001,-0.37
0.08308,-0.12
-0.10024,0.12
-0.20422,0.26
-0.11152,0.1
-0.08782,0.39
0.09394,-0.48
-0.10206,0.14
0.10955999999999999,-0.29
0.02926,-0.11
0.053579999999999996,0.02
-0.08904,-0.06
0.02624,-0.14
-0.15416,-0.32
-0.01884,-0.29
-0.05162,0.45
-0.053540000000000004,-0.4
0.166,0.04
-0.09194000000000001,0.42
0.0892,0.26
-0.14157999999999998,-0.39
0.10912000000000001,0.24
-0.00208,0.05
0.10321999999999999,0.42
-0.17129999999999998,0.33
0.1026,-0.38
0.03818,0.34
-0.12232,0.29
-0.11954000000000001,0.17
0.10003999999999999,-0.38
-0.07597999999999999,0.33
-0.01452,0.44
0.09716,0.01
0.15678,-0.37
-0.22390000000000002,0.36
-0.1209,-0.33
-0.22106,0.1
-0.07256,0.02
0.08848,0.28
-0.05846,0.4
-0.061239999999999996,-0.38
0.10428000000000001,-0.04
-0.04184,-0.29
0.0051,0.35
0.0717,-0.2
0.04718,0.1
0.05596,-0.04
-0.024980000000000002,-0.25
-0.1201,-0.23
0.13462,0.02
-0.04886,0.17
-0.1258,0.19
-0.14392,-0.39
0.09262000000000001,-0.44
-0.10342000000000001,-0.12
-0.129,-0.45
-0.12128,-0.3
0.02168,-0.47
-0.0608,-0.29
0.07516,0.36
-0.04666000000000001,-0.34
-0.07234,-0.17
0.07676,-0.11
-0.14862,-0.4
-0.0747,0.1
-0.15402,0.25
0.0275,-0.41
-0.05856,0.38
-0.12376,-0.32
-0.10714,0.14
-0.0363,0.18
-0.24064,0.37
0.01702,0.41
0.10702,-0.49
0.1358,-0.08
-0.02368,0.04
-0.08766,0.25
-0.1036,0.12
-0.061239999999999996,-0.23
-0.060540000000000004,0.26
0.08044000000000001,0.23
-0.045720000000000004,0.2
-0.15782,-0.22
0.00098,-0.23
-0.13376,0.46
0.095,0.28
-0.06616,-0.06
-0.04956000000000001,0.48
-0.01196,0.41
-0.1734,-0.31
0.01676,0.05
-0.0707,0.27
0.0206,0.44
0.01774,-0.44
0.09522,-0.24
0.0172,0.28
-0.053259999999999995,0.06
-0.10626,0.18
0.09247999999999999,-0.29
0.01732,0.07
-0.05102,0.35
-0.12294000000000001,-0.11
-0.08112,-0.44
0.048339999999999994,-0.35
-0.13088,0.4
0.1452,0.3
0.015260000000000001,0.13
-0.13222,-0.19
0.09618,0.22
0.10615999999999999,0.26
-0.12764,0.29
-0.17732,-0.39
-0.09016,-0.16
0.01966,0.41
0.078,-0.07
0.1119,0.04
-0.16172,-0.46
-0.10362,0.19
-0.11242,0.09
-0.1011,0.1
0.07544,0.17
-0.00624,0.08
-0.10658,-0.07
-0.14546,0.07
-0.04916,-0.09
0.09981999999999999,0.23
-0.11199999999999999,0.34
-0.12634,0.35
0.1507,0.43
0.047259999999999996,0.12
-0.07202,0.47
0.06,0.14
-0.02774,-0.15
0.0028799999999999997,-0.18
0.06718,-0.22
0.037360000000000004,0.17
-0.0926,-0.17
-0.0616,0.38
-0.07003999999999999,0.44
-0.12072,-0.41
-0.13566,-0.09
0.00774,-0.32
-0.11814,-0.04
0.0017599999999999998,0.07
-0.18114,0.22
0.14432,-0.33
0.07726,0.45
-0.08446,-0.21
-0.0596,-0.05
-0.16091999999999998,-0.08
-0.0096,0.4
-0.1487,-0.36
-0.0889,-0.49
-0.12266,0.27
0.09036,-0.28
0.022559999999999997,0.0
-0.06414,-0.16
-0.0558,0.25
-0.12064,0.46
0.14098,0.15
0.14498,-0.45
0.01968,0.28
0.02508,-0.08
0.0694,-0.16
-0.07372,-0.32
0.04412,0.44
-0.08206,0.41
-0.06668,-0.38
0.008539999999999999,-0.09
-0.08018,0.05
0.027839999999999997,-0.08
-0.01978,0.03
0.1588,0.02
-0.06668,0.4
0.025019999999999997,-0.38
0.073,0.47
-0.01744,0.11
0.07224,0.06
-0.06506,0.23
0.04606,0.09
-0.0724,0.34
-0.17801999999999998,-0.49
-0.06328,0.42
-0.03178,0.39
0.062439999999999996,-0.37
0.024319999999999998,-0.5
-0.013680000000000001,-0.12
0.08638,-0.44
-0.01668,-0.42
0.0424,0.38
-0.01722,-0.01
-0.051399999999999994,-0.02
-0.01576,0.47
-0.10728,0.18
-0.0384,0.45
-0.04316,0.39
0.08644,0.14
0.06216,-0.12
-0.07206,0.29
0.03132,0.17
0.04536,0.15
-0.0254,0.21
0.0931,-0.27
0.01728,-0.07
0.04654,0.46
-0.06274,0.22
-0.05756,-0.29
0.00168,0.37
0.09766,-0.38
-0.04412,-0.1
0.08263999999999999,0.26
0.10310000000000001,0.26
-0.00542,-0.49
-0.09632,-0.31
-0.06456,-0.42
0.06341999999999999,0.12
0.13507999999999998,-0.03
0.09408,-0.17
0.09772,-0.4
-0.013919999999999998,0.12
-0.0814,0.0
0.12544,-0.06
-0.07378,-0.48
-0.09054000000000001,-0.05
-0.15696,0.13
-0.13784000000000002,0.28
0.048659999999999995,-0.07
0.044800000000000006,-0.3
-0.07774,-0.36
0.045380000000000004,0.41
0.0876,-0.24
-0.1641,0.29
0.08936,-0.29
-0.06892000000000001,-0.13
-0.13821999999999998,0.13
0.13724,-0.04
0.09644,-0.1
0.09656,-0.07
-0.0318,0.03
0.10276,-0.4
0.10310000000000001,0.28
-0.10962,0.35
-0.13382,-0.18
0.0356,0.2
-0.0281,-0.2
-0.00656,-0.32
-0.07794,0.19
0.0079,0.19
-0.0454,0.3
0.15476,0.25
0.09368,0.03
-0.08524,0.34
0.10493999999999999,0.1
0.01638,-0.16
-0.00928,-0.44
0.01952,0.38
-0.042640000000000004,-0.46
0.00724,0.08
0.10310000000000001,-0.47
-0.04766,0.29
0.08928000000000001,-0.24
-0.11022,0.17
0.09586,0.4
-0.06996000000000001,-0.1
0.041100000000000005,-0.14
-0.05346,0.28
-0.12738,0.13
-0.09868,0.23
-0.10497999999999999,-0.11
-0.11912,-0.29
-0.07674,0.1
0.032,0.36
-0.055279999999999996,-0.36
0.12624000000000002,0.04
-0.10224,-0.39
